,S_NO,NAME,UNIT_NO,DT_ COMM,CAPACITY MW AS ON 31/03/2023,TYPE,STATE,SECTOR,SYSTEM,Fuel1,Fuel2,NET GENERATION(MU),Fuel 1 Consumption (if coal: only national coal) ,Fuel 1 Consumption (only for imported coal),Fuel 2 Consumption,CO2(ton) FUEL-1,"CO2(ton)
FUEL-2",TOTAL CO2(ton),Emission factor (ton/MWh),CDM Registry
,107.00,NAWAPARA,2.00,18-04-2017,300.00,THERMAL,CHATTISGARH,PRIVATE,TRN ENERGY,COAL,OIL,1549.00,1262.90,0.00,316.00,1611044.81,948.88,1611993.69,1.04,
,108.00,NEYVELI FST EXT,0.00,,420.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,2605.27,2918.90,0.00,2062.27,3269455.24,6038.78,3275494.02,1.26,
,108.00,NEYVELI FST EXT,1.00,21-10-2002,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,1267.24,1398.92,0.00,1120.92,1566928.60,3282.30,1570210.90,1.24,
,108.00,NEYVELI FST EXT,2.00,22-07-2003,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,1338.03,1519.98,0.00,941.35,1702526.64,2756.48,1705283.12,1.27,
,109.00,NEYVELI ST II,0.00,,1470.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,5084.03,7010.47,0.00,13240.96,7524991.93,39407.54,7564399.48,1.49,
,109.00,NEYVELI ST II,1.00,17-01-1988,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,637.37,882.71,0.00,1980.57,947499.27,5894.53,953393.81,1.50,
,109.00,NEYVELI ST II,2.00,06-02-1987,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,950.39,1306.61,0.00,2056.16,1402506.43,6119.51,1408625.94,1.48,
,109.00,NEYVELI ST II,3.00,29-03-1986,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,870.40,1202.27,0.00,3580.18,1290505.04,10655.29,1301160.33,1.49,
,109.00,NEYVELI ST II,4.00,30-03-1991,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,726.36,1000.79,0.00,1573.37,1074237.61,4682.64,1078920.25,1.49,
,109.00,NEYVELI ST II,5.00,30-12-1991,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,705.31,967.28,0.00,1601.68,1038273.33,4766.89,1043040.22,1.48,
,109.00,NEYVELI ST II,6.00,30-10-1992,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,598.26,834.35,0.00,1074.76,895586.18,3198.70,898784.88,1.50,
,109.00,NEYVELI ST II,7.00,19-06-1993,210.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,595.94,816.46,0.00,1374.24,876384.06,4089.98,880474.05,1.48,
,110.00,NEYVELI NEW TPP,0.00,,1000.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,6637.33,7207.04,0.00,3626.80,7954332.51,10068.61,7964401.12,1.20,
,110.00,NEYVELI NEW TPP,1.00,20-12-2019,500.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,3425.90,3719.82,0.00,1490.62,4105523.03,4124.36,4109647.40,1.20,
,110.00,NEYVELI NEW TPP,2.00,03-02-2021,500.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,3211.43,3487.22,0.00,2136.18,3848809.47,5944.25,3854753.72,1.20,
,111.00,NEYVELI TPS EXP -II,0.00,,500.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,1804.45,2141.41,0.00,3459.16,2305236.36,10371.73,2315608.09,1.28,
,111.00,NEYVELI TPS EXP -II,1.00,04-02-2012,250.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,797.87,957.40,0.00,2123.44,1030642.38,6365.32,1037007.70,1.30,
,111.00,NEYVELI TPS EXP -II,2.00,24-01-2015,250.00,THERMAL,TAMIL NADU,CENTER,NLC,LIGN,OIL,1006.58,1184.01,0.00,1335.72,1274593.98,4006.42,1278600.40,1.27,
,112.00,NEYVELI TPS(Z),0.00,,250.00,THERMAL,TAMIL NADU,PVT,TAQA,LIGN,OIL,1374.93,1532.23,0.00,1284.18,1744864.10,3774.31,1748638.41,1.27,
,112.00,NEYVELI TPS(Z),1.00,11-10-2002,250.00,THERMAL,TAMIL NADU,PVT,TAQA,LIGN,OIL,1374.93,1532.23,0.00,1284.18,1744864.10,3774.31,1748638.41,1.27,
,113.00,NIGRIE,0.00,,1320.00,THERMAL,MADHYA PRADESH,PVT,JP VENTURE LTd.,COAL,OIL,9381.00,5662.13,0.00,1603.00,8042240.63,4148.41,8046389.04,1.27,
,113.00,NIGRIE,1.00,29-08-2014,660.00,THERMAL,MADHYA PRADESH,PVT,JP VENTURE LTd.,COAL,OIL,4300.00,2582.91,0.00,1390.00,3693695.05,3596.29,3697291.33,0.86,
,113.00,NIGRIE,2.00,17-02-2015,660.00,THERMAL,MADHYA PRADESH,PVT,JP VENTURE LTd.,COAL,OIL,5081.00,3079.22,0.00,213.00,4348545.59,552.12,4349097.71,0.86,
,114.00,NIWARI TPP ,0.00,,90.00,THERMAL,MADHYA PRADESH,PVT,BLA POWER LTD,COAL,OIL,475.19,402.56,0.00,0.00,586526.70,0.00,586526.70,1.23,
,114.00,NIWARI TPP ,1.00,01-12-2013,45.00,THERMAL,MADHYA PRADESH,PVT,BLA POWER LTD,COAL,OIL,237.60,201.28,0.00,0.00,293263.35,0.00,293263.35,1.23,
,114.00,NIWARI TPP ,2.00,06-06-2019,45.00,THERMAL,MADHYA PRADESH,PVT,BLA POWER LTD,COAL,OIL,237.60,201.28,0.00,0.00,293263.35,0.00,293263.35,1.23,
,115.00,NORTH CHENNAI,0.00,,630.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,3250.84,3074.97,45.18,3761.46,3631023.30,11176.72,3642200.02,1.12,
,115.00,NORTH CHENNAI,1.00,25-10-1994,210.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,994.99,934.80,8.07,1068.20,1095045.32,3174.57,1098219.89,1.10,
,115.00,NORTH CHENNAI,2.00,27-03-1995,210.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,1203.49,1122.99,30.97,1207.13,1349720.13,3582.96,1353303.09,1.12,
,115.00,NORTH CHENNAI,3.00,24-02-1996,210.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,1052.36,1017.18,6.14,1486.14,1186257.85,4419.19,1190677.04,1.13,
,116.00,NORTH CHENNAI EXTENSION,0.00,,1200.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,5913.31,4991.34,285.43,4928.85,6125057.78,14582.94,6139640.72,1.04,
,116.00,NORTH CHENNAI EXTENSION,1.00,09-03-2013,600.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,2839.41,2428.65,140.30,2569.90,2971781.79,7599.31,2979381.10,1.05,
,116.00,NORTH CHENNAI EXTENSION,2.00,13-09-2013,600.00,THERMAL,TAMIL NADU,STATE,TNEB,COAL,OIL,3073.90,2562.69,145.13,2358.94,3153275.99,6983.63,3160259.62,1.03,
,117.00,NORTH KARANPURA,0.00,,1320.00,THERMAL,JARKHAND,CENTER,NTPC,COAL,OIL,5180.00,3712.70,0.00,3228.00,4717490.93,8578.27,4726069.20,0.91,
,117.00,NORTH KARANPURA,1.00,18-01-2023,660.00,THERMAL,JARKHAND,CENTER,NTPC,COAL,OIL,4840.00,3604.50,0.00,2893.00,4580366.72,7697.56,4588064.27,0.95,
,117.00,NORTH KARANPURA,2.00,20-01-2024,660.00,THERMAL,JARKHAND,CENTER,NTPC,COAL,OIL,340.00,108.20,0.00,335.00,137124.21,880.72,138004.93,0.41,
,118.00,OBRA-A ,0.00,,1000.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,4300.22,3790.87,0.00,13403.30,4845953.09,35471.21,4881424.29,1.14,
,118.00,OBRA-A ,9.00,26-01-1980,200.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,549.32,512.41,0.00,2660.20,655025.05,7040.09,662065.15,1.21,
,118.00,OBRA-A ,10.00,14-01-1979,200.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,812.83,709.12,0.00,2059.30,906483.80,5449.84,911933.64,1.12,
,118.00,OBRA-A ,11.00,31-12-1977,200.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1150.02,1004.77,0.00,1136.20,1284419.75,3006.90,1287426.65,1.12,
,118.00,OBRA-A ,12.00,28-03-1981,200.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,851.88,744.91,0.00,4231.80,952234.95,11199.26,963434.21,1.13,
,118.00,OBRA-A ,13.00,21-07-1982,200.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,936.17,819.66,0.00,3315.80,1047789.53,8775.11,1056564.64,1.13,
,119.00,PAINAMPURAM(SGPL P1),0.00,,1320.00,THERMAL,ANDHRA PRADESH,PVT,Sembcorp Energy India Ltd-P1,COAL,OIL,9033.40,4203.08,1683.21,1174.34,7869519.73,3517.40,7873037.13,0.87,
,119.00,PAINAMPURAM(SGPL P1),1.00,07-02-2015,660.00,THERMAL,ANDHRA PRADESH,PVT,Sembcorp Energy India Ltd-P1,COAL,OIL,4275.29,1957.68,839.09,587.04,3725003.72,1743.45,3726747.17,0.87,
,119.00,PAINAMPURAM(SGPL P1),2.00,03-09-2015,660.00,THERMAL,ANDHRA PRADESH,PVT,Sembcorp Energy India Ltd-P1,COAL,OIL,4758.11,2245.39,844.13,587.30,4144516.01,1773.95,4146289.95,0.87,
,120.00,PANIPAT,0.00,,710.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,3347.09,2702.01,0.00,3532.21,3502580.57,10816.57,3513397.14,1.05,
,347.00,PANIPAT,6.00,01-04-2001,210.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,919.36,752.72,0.00,1747.78,973644.82,5352.17,978996.98,1.06,
,347.00,PANIPAT,7.00,26-09-2004,250.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,1372.96,1097.89,0.00,793.23,1426362.19,2429.08,1428791.27,1.04,
,347.00,PANIPAT,8.00,28-01-2005,250.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,1054.77,851.40,0.00,991.20,1102573.57,3035.32,1105608.88,1.05,
,121.00,PARAS,0.00,,500.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,3219.24,2707.81,0.00,1712.51,3291383.51,5038.46,3296421.97,1.02,
,121.00,PARAS,2.00,31-03-2008,250.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1570.49,1324.26,0.00,1028.76,1611449.58,3027.94,1614477.53,1.03,
,121.00,PARAS,3.00,27-03-2010,250.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1648.75,1383.55,0.00,683.75,1679933.93,2010.52,1681944.45,1.02,
,122.00,PARICHA,0.00,,920.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,4695.55,3906.39,0.00,3170.00,4809873.33,8254.18,4818127.51,1.03,
,122.00,PARICHA,1.00,31-03-1984,0.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,122.00,PARICHA,2.00,25-02-1985,0.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,-,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,122.00,PARICHA,3.00,29-03-2006,210.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,994.43,835.67,0.00,1304.00,1028943.82,3395.41,1032339.23,1.04,
,122.00,PARICHA,4.00,28-12-2006,210.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1133.16,946.90,0.00,480.00,1165900.99,1249.84,1167150.83,1.03,
,122.00,PARICHA,5.00,24-05-2012,250.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1099.50,910.48,0.00,739.00,1121062.48,1924.24,1122986.71,1.02,
,122.00,PARICHA,6.00,11-03-2013,250.00,THERMAL,UTTAR PRADESH,STATE,UPRVUNL,COAL,OIL,1468.46,1213.34,0.00,647.00,1493966.05,1684.69,1495650.73,1.02,
,123.00,PARLI,0.00,,750.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,3624.46,2956.94,0.00,7374.15,3785890.24,21771.76,3807662.00,1.05,
,123.00,PARLI,6.00,16-02-2007,250.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1257.73,1023.93,0.00,2841.64,1313184.81,8387.72,1321572.54,1.05,
,123.00,PARLI,7.00,10-02-2010,250.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1228.96,996.75,0.00,2953.42,1278704.70,8714.41,1287419.10,1.05,
,123.00,PARLI,8.00,30-03-2016,250.00,THERMAL,MAHARASHTRA,STATE,MAHAGENCO,COAL,OIL,1137.77,936.26,0.00,1579.09,1194000.73,4669.63,1198670.36,1.05,
,124.00,PATHADI TPS PH -I,0.00,,600.00,THERMAL,CHATTISGARH,PVT,LANCO AMARKANTAK,COAL,OIL,3545.41,2741.61,0.00,391.74,3518213.13,1120.30,3519333.43,0.99,
,124.00,PATHADI TPS PH -I,1.00,04-06-2009,300.00,THERMAL,CHATTISGARH,PVT,LANCO AMARKANTAK,COAL,OIL,1745.08,1359.31,0.00,105.36,1760599.53,301.31,1760900.84,1.01,
,124.00,PATHADI TPS PH -I,2.00,25-03-2010,300.00,THERMAL,CHATTISGARH,PVT,LANCO AMARKANTAK,COAL,OIL,1800.33,1382.30,0.00,286.38,1757613.60,818.99,1758432.58,0.98,
,125.00,PRYAGRAJ (BARA) TPP,0.00,,1980.00,THERMAL,UTTAR PRADESH,PVT,PRAYAGRAJ P GEN CO LTD(J Power),COAL,OIL,11973.41,7772.21,0.00,2039.59,10685052.67,6241.10,10691293.78,0.89,
,125.00,PRYAGRAJ (BARA) TPP,1.00,25-12-2015,660.00,THERMAL,UTTAR PRADESH,PVT,PRAYAGRAJ P GEN CO LTD(J Power),COAL,OIL,3819.76,2467.17,0.00,830.32,3392577.93,2540.76,3395118.69,0.89,
,125.00,PRYAGRAJ (BARA) TPP,2.00,06-09-2016,660.00,THERMAL,UTTAR PRADESH,PVT,JAYPEE,COAL,OIL,4119.33,2696.28,0.00,580.02,3708250.14,1774.85,3710024.99,0.90,
,125.00,PRYAGRAJ (BARA) TPP,3.00,22-05-2017,660.00,THERMAL,UTTAR PRADESH,PVT,JAYPEE,COAL,OIL,4034.32,2608.76,0.00,629.25,3584224.61,1925.49,3586150.10,0.89,
,126.00,R_GUNDEM - B,0.00,,62.50,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,219.06,229.63,0.00,1102.52,315926.89,3347.96,319274.85,1.46,
,126.00,R_GUNDEM - B,1.00,31-05-1970,62.50,THERMAL,TELANGANA,STATE,TSGENCO,COAL,OIL,219.06,229.63,0.00,1102.52,315926.89,3347.96,319274.85,1.46,
,127.00,R_GUNDEM STPS,0.00,,2600.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,15636.80,11548.55,0.00,8047.15,15027860.92,22293.36,15050154.28,0.96,
,127.00,R_GUNDEM STPS,1.00,26-11-1983,200.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,1236.35,914.05,0.00,783.34,1188513.38,2109.24,1190622.62,0.96,
,127.00,R_GUNDEM STPS,2.00,29-05-1984,200.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,1271.69,942.12,0.00,592.22,1227114.79,1609.21,1228724.00,0.97,
,127.00,R_GUNDEM STPS,3.00,13-12-1984,200.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,1107.64,834.93,0.00,1634.87,1081575.24,4433.65,1086008.89,0.98,
,127.00,R_GUNDEM STPS,4.00,26-06-1988,500.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,2819.45,2097.85,0.00,1514.56,2745000.71,4248.04,2749248.75,0.98,
,127.00,R_GUNDEM STPS,5.00,26-03-1989,500.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,3084.19,2261.64,0.00,1148.41,2940727.73,3226.82,2943954.55,0.95,
,127.00,R_GUNDEM STPS,6.00,16-10-1989,500.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,2701.91,2022.19,0.00,1743.03,2625558.52,4895.42,2630453.94,0.97,
,127.00,R_GUNDEM STPS,7.00,26-09-2004,500.00,THERMAL,TELANGANA,CENTER,NTPC,COAL,OIL,3415.57,2475.77,0.00,630.72,3219370.56,1770.97,3221141.53,0.94,
,128.00,RAGHUNATHPUR TPP PH-I,0.00,,1200.00,THERMAL,WEST BENGAL,CENTER,DVC,COAL,OIL,6955.24,4329.85,159.05,2645.30,6343740.60,7568.79,6351309.40,0.91,
,128.00,RAGHUNATHPUR TPP PH-I,1.00,24-08-2014,600.00,THERMAL,WEST BENGAL,CENTER,DVC,COAL,OIL,3798.01,2328.58,85.54,1269.90,3411642.32,3633.47,3415275.78,0.90,
,128.00,RAGHUNATHPUR TPP PH-I,2.00,18-01-2016,600.00,THERMAL,WEST BENGAL,CENTER,DVC,COAL,OIL,3157.23,2001.27,73.51,1375.40,2932098.29,3935.33,2936033.61,0.93,
,129.00,RAICHUR,0.00,,1720.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,7002.97,6686.25,35.93,33196.09,8186172.44,97298.70,8283471.15,1.18,
,129.00,RAICHUR,1.00,29-03-1985,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
,129.00,RAICHUR,2.00,02-03-1986,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,909.63,869.56,6.21,5888.36,1074464.96,17253.75,1091718.70,1.20,
,129.00,RAICHUR,3.00,30-03-1991,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,958.71,934.06,0.00,7270.81,1113877.13,21304.53,1135181.66,1.18,
,129.00,RAICHUR,4.00,29-09-1994,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,1217.76,1171.85,3.63,5492.88,1432266.28,16104.25,1448370.52,1.19,
,129.00,RAICHUR,5.00,31-01-1999,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,969.91,911.91,8.75,3281.04,1134677.63,9614.18,1144291.81,1.18,
,129.00,RAICHUR,6.00,22-07-1999,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,959.59,904.92,8.69,3152.59,1114276.80,9243.05,1123519.85,1.17,
,129.00,RAICHUR,7.00,11-12-2002,210.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,943.38,884.41,8.65,4233.11,1087550.36,12403.87,1099954.22,1.17,
,129.00,RAICHUR,8.00,26-06-2010,250.00,THERMAL,KARNATAKA,STATE,KPCL,COAL,OIL,1043.99,1009.54,0.00,3877.30,1229059.29,11375.09,1240434.38,1.19,
,130.00,RAIGARH TPP(OP JINDAL TPS),0.00,,1000.00,THERMAL,CHATTISGARH,PVT,JSW ENERGY,COAL,OIL,6795.32,5619.30,0.00,674.90,6552341.06,2008.67,6554349.73,0.96,
,130.00,RAIGARH TPP(OP JINDAL TPS),1.00,08-12-2007,250.00,THERMAL,CHATTISGARH,PVT,JSW ENERGY,COAL,OIL,1759.91,1474.70,0.00,52.60,1719562.46,156.65,1719719.12,0.98,
,130.00,RAIGARH TPP(OP JINDAL TPS),2.00,06-03-2008,250.00,THERMAL,CHATTISGARH,PVT,JSW ENERGY,COAL,OIL,1668.19,1367.60,0.00,184.10,1594679.34,549.28,1595228.63,0.96,
,130.00,RAIGARH TPP(OP JINDAL TPS),3.00,10-02-2008,250.00,THERMAL,CHATTISGARH,PVT,JSW ENERGY,COAL,OIL,1577.29,1321.30,0.00,258.50,1540691.59,767.35,1541458.94,0.98,
,130.00,RAIGARH TPP(OP JINDAL TPS),4.00,17-06-2008,250.00,THERMAL,CHATTISGARH,PVT,JSW ENERGY,COAL,OIL,1789.93,1455.70,0.00,179.70,1697407.66,535.39,1697943.05,0.95,
,131.00,RAIKHEDA,0.00,,1370.00,THERMAL,CHATTISGARH,PVT,Raipur Energen Limited,COAL,OIL,7838.01,5508.88,270.18,1670.00,7264633.99,5031.29,7269665.28,0.93,
,131.00,RAIKHEDA,1.00,27-02-2015,685.00,THERMAL,CHATTISGARH,PVT,Raipur Energen Limited,COAL,OIL,3676.62,2663.92,127.34,1128.00,3518302.57,3397.61,3521700.18,0.96,
,131.00,RAIKHEDA,2.00,28-03-2016,685.00,THERMAL,CHATTISGARH,PVT,Raipur Energen Limited,COAL,OIL,4161.39,2844.96,142.84,542.00,3746331.41,1633.69,3747965.10,0.90,
,132.00,RAJIV GANDHI  TPS HISAR,0.00,,1200.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,4002.83,3203.89,1.16,5472.57,3910889.82,16630.14,3927519.96,0.98,
,132.00,RAJIV GANDHI  TPS HISAR,1.00,31-03-2010,600.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,2341.44,1869.71,0.56,2728.26,2273005.30,8290.68,2281295.99,0.97,
,132.00,RAJIV GANDHI  TPS HISAR,2.00,01-10-2010,600.00,THERMAL,HARYANA,STATE,HPGCL,COAL,OIL,1661.39,1334.18,0.60,2744.31,1637884.52,8339.46,1646223.97,0.99,
,133.00,RAJPURA TPP ,0.00,,1400.00,THERMAL,PUNJAB,PVT,NABHA POWER LTD,COAL,OIL,9873.66,5961.00,39.00,786.00,8580899.64,2247.80,8583147.44,0.87,
,133.00,RAJPURA TPP ,1.00,01-02-2014,700.00,THERMAL,PUNJAB,PVT,NABHA POWER LTD,COAL,OIL,4888.34,2966.00,17.00,347.00,4266341.03,992.35,4267333.38,0.87,
,133.00,RAJPURA TPP ,2.00,06-07-2014,700.00,THERMAL,PUNJAB,PVT,NABHA POWER LTD,COAL,OIL,4985.32,2995.00,22.00,439.00,4314558.61,1255.45,4315814.06,0.87,
,134.00,RATIJA TPP,0.00,,100.00,THERMAL,CHATTISGARH,PVT,SCPL LTD,COAL,OIL,550.14,858.07,0.00,195.79,709732.78,559.92,710292.70,1.29,
,398.00,RATIJA TPP,1.00,04-02-2013,50.00,THERMAL,CHATTISGARH,PVT,SCPL LTD,COAL,OIL,279.13,452.70,0.00,31.35,374517.37,89.65,374607.03,1.34,
,398.00,RATIJA TPP,2.00,10-11-2016,50.00,THERMAL,CHATTISGARH,PVT,SCPL LTD,COAL,OIL,271.01,405.38,0.00,164.44,335215.41,470.26,335685.67,1.24,
,135.00,Dr. M.V.R. RAYALSEEMA,0.00,,1650.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,9439.39,8163.27,0.00,8494.40,9890203.24,24571.58,9914774.81,1.05,
,135.00,Dr. M.V.R. RAYALSEEMA,1.00,27-04-1994,210.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,1173.99,1097.81,0.00,1559.18,1290917.53,4510.22,1295427.75,1.10,
,135.00,Dr. M.V.R. RAYALSEEMA,2.00,25-02-1995,210.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,1198.03,1131.62,0.00,1652.14,1328104.06,4779.11,1332883.17,1.11,
,135.00,Dr. M.V.R. RAYALSEEMA,3.00,25-01-2007,210.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,1333.90,1188.57,0.00,605.79,1400353.64,1752.36,1402106.00,1.05,
,135.00,Dr. M.V.R. RAYALSEEMA,4.00,20-11-2007,210.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,1288.81,1184.49,0.00,945.33,1394190.51,2734.53,1396925.03,1.08,
,135.00,Dr. M.V.R. RAYALSEEMA,5.00,31-12-2010,210.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,1185.66,1086.58,0.00,1022.46,1284722.48,2957.64,1287680.12,1.09,
,135.00,Dr. M.V.R. RAYALSEEMA,6.00,12-03-2018,600.00,THERMAL,ANDHRA PRADESH,STATE,APGENCO,COAL,OIL,3259.00,2474.20,0.00,2709.50,3191915.03,7837.72,3199752.75,0.98,
,136.00,RIHAND,0.00,,3000.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,21887.00,14565.10,0.00,5788.00,20916653.83,15323.32,20931977.14,0.96,
,136.00,RIHAND,1.00,31-03-1988,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3747.00,2518.90,0.00,1233.00,3620311.54,3265.54,3623577.09,0.97,
,136.00,RIHAND,2.00,05-07-1989,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3756.00,2522.00,0.00,554.00,3622853.73,1471.84,3624325.57,0.96,
,136.00,RIHAND,3.00,31-01-2005,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3546.00,2367.10,0.00,997.00,3396748.25,2638.23,3399386.48,0.96,
,136.00,RIHAND,4.00,24-09-2005,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3387.00,2268.60,0.00,1400.00,3256262.96,3705.43,3259968.39,0.96,
,136.00,RIHAND,5.00,25-05-2012,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3550.00,2336.20,0.00,919.00,3355065.80,2427.10,3357492.90,0.95,
,136.00,RIHAND,6.00,07-10-2013,500.00,THERMAL,UTTAR PRADESH,CENTER,NTPC,COAL,OIL,3901.00,2552.30,0.00,685.00,3665411.54,1815.17,3667226.71,0.94,
,137.00,ROPAR,0.00,,840.00,THERMAL,PUNJAB,STATE,PSEB,COAL,OIL,3573.65,2716.08,0.00,7917.61,4211765.45,22416.30,4234181.75,1.18,
,137.00,ROPAR,3.00,31-03-1988,210.00,THERMAL,PUNJAB,STATE,PSEB,COAL,OIL,782.06,594.30,0.00,1643.88,921568.80,4654.15,926222.94,1.18,
,137.00,ROPAR,4.00,29-01-1989,210.00,THERMAL,PUNJAB,STATE,PSEB,COAL,OIL,806.46,612.85,0.00,2381.74,950335.40,6743.17,957078.57,1.19,
,137.00,ROPAR,5.00,29-03-1992,210.00,THERMAL,PUNJAB,STATE,PSEB,COAL,OIL,836.22,635.47,0.00,1763.72,985405.51,4993.44,990398.95,1.18,
,137.00,ROPAR,6.00,30-03-1993,210.00,THERMAL,PUNJAB,STATE,PSEB,COAL,OIL,1148.91,873.46,0.00,2128.27,1354455.74,6025.55,1360481.29,1.18,
,138.00,ROSA TPP PH - 1,0.00,,1200.00,THERMAL,UTTAR PRADESH,PVT,ROSA POWER COMPANY,COAL,OIL,7028.30,4720.71,0.00,433.40,6808154.26,1363.25,6809517.52,0.97,
,138.00,ROSA TPP PH - 1,1.00,10-02-2010,300.00,THERMAL,UTTAR PRADESH,PVT,ROSA POWER COMPANY,COAL,OIL,1658.85,1127.98,0.00,145.40,1626761.65,457.35,1627219.00,0.98,
,138.00,ROSA TPP PH - 1,2.00,26-06-2010,300.00,THERMAL,UTTAR PRADESH,PVT,ROSA POWER COMPANY,COAL,OIL,1940.92,1329.29,0.00,62.50,1917081.74,196.59,1917278.33,0.99,
,138.00,ROSA TPP ,3.00,28-12-2011,300.00,THERMAL,UTTAR PRADESH,PVT,ROSA POWER COMPANY,COAL,OIL,1781.15,1180.70,0.00,40.00,1702793.91,125.82,1702919.73,0.96,
